RUN,Nombre,"Apellido P",telefono,"email personal","email  institucional",DEDICACIÓN,CONTRATO,DIURNO,VESPERTINO,SEDE,CARRERA,"GRADO ACADÉMICO",JERARQUÍA,CARGO,ESTAMENTO
,,,,,,10.0,HONORARIO,,,,,,"PROFESORA ASISTENTE DOCENTE",,Académico
22671518,"Mike ",Newell,,,,,,,,,,,,,
,,,,,,40.0,"FULL TIME",,,,,0,"PROFESOR ASISTENTE REGULAR",,Académico
,,,,,,40.0,"FULL TIME",,vespertino,,,DOCTOR,"ASISTENTE REGULAR","Director del  Área",Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
,,,,,,10.0,HONORARIO,,,,,,"ASISTENTE DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASOCIADA DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,
,,,,,,,HONORARIO,,vespertino,,,LICENCIATURA,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,
16462378,Cho,Chang,,cho.chang.gallo@coldmail.com,cho.chang.gallo@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE","Coord. de Clínica ",Académico
,,,,,,,HONORARIO,,vespertino,,,0,"ASOCIADO DOCENTE",,
,,,,,,,HONORARIO,,,,,,"TITULAR DOCENTE",,
,,,,,,,HONORARIO,,,,,,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,DOCTOR,"ASOCIADO REGULAR","Académico Investigador",Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,vespertino,,,LICENCIATURA,"SIN JERARQUIZAR",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
13645935,Horace,Slughorn,,horace.slughorn@gmall.com,horace.slughorn@lamejor.com,,,,,,,,,,
,,,,,,40.0,"FULL TIME",,nocturno,,,DOCTOR,"PROFESOR ASOCIADO DOCENTE","Director Inst. Investigación y Postgra",Académico
22125739,Ron,Weasley,901234576,ron.weasley.irarrazabal@gmall.com,ron.weasley.irarrazabal@lamejor.com,,"FULL TIME",diurno,,HOGWARTS,MAGIA,,"INSTRUCTOR DOCENTE","Director Clínica ",academico
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,"ASOCIADO REGULAR","Académico Investigador",
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,,vespertino,,,DOCTOR,"ASISTENTE REGULAR","Coordinador de Investigacion",
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,"ASOCIADO DOCENTE","Profesor por Jornada",
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,40.0,"FULL TIME",,,,,0,"PROFESOR ASISTENTE DOCENTE","Coordinador Docente y Formación Contin",Académico
,,,,,,,HONORARIO,,,,,,"INSTRUCTORA DOCENTE",,Académico
,,,,,,,JORNADA,diurno,,,,LICENCIATURA,"INSTRUCTOR REGULAR","Coordinador (a) Postgrados",
,,,,,,,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,
,,,,,,10.0,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,"INSTRUCTOR DOCENTE",,
9734595,Alicia,Spinnet,,alicia.spinnet.bascunan@gmall.com,alicia.spinnet.bascunan@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE","Coord. de Seguimiento y Apoyo al Egres",Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"TITULAR DOCENTE",,
,,,,,,40.0,,,,,,,,"Asistente de Titulos y Grados",Administrativo
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,DOCTOR,"TITULAR DOCENTE","Académico Investigador",Académico
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,"ASOCIADO REGULAR",,
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,"ASISTENTE REGULAR","Profesor por Jornada",
,,,,,,10.0,,diurno,,,,MAGISTER,,,Académico
14793687,George,Weasley,,george.weasley.valdivia@yeeha.com,george.weasley.valdivia@lamejor.com,,,,,,,,,,
,,,,,,,,,,,,,"INSTRUCTORA DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,,,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASOCIADO DOCENTE","Director(a) Carrera (i)",
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASOCIADO DOCENTE","Profesor 1/2 Jornada",
,,,,,,,HONORARIO,,,,,,,,Académico
17333138,Aurora,Sinistra,,aurora.sinistra@coldmail.com,aurora.sinistra@lamejor.com,,,,,,,,,,
15358632,Fred,Weasley,,fred.weasley.marti@gmall.com,fred.weasley.marti@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASOCIADO DOCENTE",,
,,,,,,40.0,"FULL TIME",,vespertino,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,10.0,HONORARIO,,,,,,"ASOCIADA DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"ASISTENTE DOCENTE",,
,,,,,,10.0,HONORARIO,,vespertino,,,0,,,Académico
,,,,,,20.0,"FULL TIME",diurno,,,,DOCTORA,"COMISIÓN SUPERIOR ASOCIADA DOCENTE",,Académico
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
13185805,"Godric ",Gryffindor,,godric.gryffindor.stippel@yeeha.com,godric.gryffindor.stippel@lamejor.com,,,,,,,,,,
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,10.0,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,Académico
,,,,,,10.0,HONORARIO,,,,,,,,Académico
,,,,,,,,,,,,,"INSTRUCTORA DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,Académico
16386516,Bathsheda,Babbling,,bathsheda.babbling@gmall.com,bathsheda.babbling@lamejor.com,,,,,,,,,,
,,,,,,40.0,"FULL TIME",,,,,0,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,10.0,HONORARIO,,,,,,"SIN JERARQUIZAR",,Académico
,,,,,,,HONORARIO,,vespertino,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,
22219383,"Chris ",Columbus,,,,,,,,,,,,,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"TITULAR DOCENTE",,
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,vespertino,,,LICENCIATURA,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,Académico
,,,,,,40.0,,,,,,,,"Coord. de Seguimiento y Apoyo al Egresad",Académico
,,,,,,,JORNADA,diurno,vespertino,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,
,,,,,,0.0,"FULL TIME",,,,,"PROFESOR ASOCIADO REGULAR",,"Académico Investigador",Académico
24120738,Narcissa,Malfoy,,narcissa.malfoy.ramirez@coldmail.com,narcissa.malfoy.ramirez@lamejor.com,,,,,,,,,,
,,,,,,40.0,"FULL TIME",,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE","Director(a) Carrera",Académico
,,,,,,10.0,HONORARIO,,,,,,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"SIN CONOCIMIENTO",,
